Statistics for AC 12kWh Charger (0-20%):
--------------------------------------
Start Time: 694.195333, Charging Time: 2.558606
Start Time: 668.816194, Charging Time: 28.705205
Start Time: 693.857195, Charging Time: 3.846409
Start Time: 682.852146, Charging Time: 23.800272
Start Time: 691.615811, Charging Time: 16.352723
Start Time: 705.120667, Charging Time: 9.670209
Start Time: 711.048241, Charging Time: 5.895145
Start Time: 711.306727, Charging Time: 8.044572
Start Time: 710.969012, Charging Time: 15.399268
Start Time: 733.677071, Charging Time: 1.197768
Start Time: 732.164506, Charging Time: 7.354943
Start Time: 729.460524, Charging Time: 10.463061
Start Time: 740.422205, Charging Time: 1.593086
Start Time: 723.463529, Charging Time: 26.843784
Start Time: 755.168861, Charging Time: 19.273452
Start Time: 780.376493, Charging Time: 0.230073
Start Time: 759.570194, Charging Time: 27.798955
Start Time: 759.805925, Charging Time: 30.809127
Start Time: 773.120854, Charging Time: 18.152563
Start Time: 777.684448, Charging Time: 21.587797
Start Time: 792.093592, Charging Time: 15.663046
Start Time: 806.149987, Charging Time: 5.571092
Start Time: 803.035964, Charging Time: 15.709791
Start Time: 789.377963, Charging Time: 32.210697
Start Time: 816.394680, Charging Time: 6.919852
Start Time: 801.286592, Charging Time: 29.181319
Start Time: 814.418313, Charging Time: 18.358669
Start Time: 822.502605, Charging Time: 14.954880
Start Time: 822.371666, Charging Time: 17.563298
--------------------------------------
Average Charging Time: 16.707874 mins
======================================
Statistics for DC 108kWh Charger (0-20%):
--------------------------------------
Start Time: 2.981817, Charging Time: 7.840303
Start Time: 8.366281, Charging Time: 13.719559
Start Time: 32.916072, Charging Time: 14.110429
Start Time: 106.129553, Charging Time: 15.048435
Start Time: 126.037276, Charging Time: 2.258450
Start Time: 131.545301, Charging Time: 2.216338
Start Time: 130.973527, Charging Time: 5.906979
Start Time: 141.054490, Charging Time: 14.228881
Start Time: 152.244517, Charging Time: 3.336376
Start Time: 147.680401, Charging Time: 10.832764
Start Time: 153.403550, Charging Time: 7.223260
Start Time: 157.222642, Charging Time: 10.363134
Start Time: 163.462042, Charging Time: 8.800498
