Statistics for AC 11kWh Charger (0-20%):
--------------------------------------
Start Time: 473.903960, Charging Time: 2.403826
Start Time: 498.792018, Charging Time: 13.610574
Start Time: 755.256160, Charging Time: 15.214940
--------------------------------------
Average Charging Time: 9.124551 mins
======================================
Statistics for DC 108kWh Charger (0-20%):
--------------------------------------
Start Time: 32.575099, Charging Time: 12.805737
Start Time: 148.589995, Charging Time: 6.907775
Start Time: 340.735897, Charging Time: 10.868710
Start Time: 377.582124, Charging Time: 10.301196
Start Time: 403.603505, Charging Time: 0.747036
Start Time: 521.384812, Charging Time: 12.192806
Start Time: 679.530058, Charging Time: 9.792161
Start Time: 721.980816, Charging Time: 9.578396
Start Time: 764.871206, Charging Time: 9.775143
Start Time: 774.119378, Charging Time: 1.876886
Start Time: 811.911582, Charging Time: 3.774521
Start Time: 826.358509, Charging Time: 5.885490
Start Time: 1086.198011, Charging Time: 9.963379
Start Time: 1149.914111, Charging Time: 11.135887
--------------------------------------
Average Charging Time: 8.257509 mins
======================================
Statistics for DC 150kWh Charger (0-20%):
--------------------------------------
Start Time: 18.961116, Charging Time: 8.478080
Start Time: 18.395132, Charging Time: 10.273384
Start Time: 29.577529, Charging Time: 5.126509
Start Time: 34.490309, Charging Time: 9.756360
Start Time: 47.721903, Charging Time: 4.054124
Start Time: 51.247998, Charging Time: 3.629241
Start Time: 58.324861, Charging Time: 9.383582
Start Time: 164.666787, Charging Time: 2.189198
Start Time: 172.726626, Charging Time: 3.527383
Start Time: 182.573183, Charging Time: 9.462676
Start Time: 260.339888, Charging Time: 0.951092
Start Time: 272.331775, Charging Time: 0.831410
Start Time: 370.592067, Charging Time: 10.787993
Start Time: 449.038783, Charging Time: 9.947337
Start Time: 461.517812, Charging Time: 1.305720
Start Time: 496.587510, Charging Time: 0.600362
Start Time: 492.286308, Charging Time: 6.742525
Start Time: 504.235116, Charging Time: 7.127402
Start Time: 529.622471, Charging Time: 2.828863
Start Time: 603.243642, Charging Time: 5.019028
